OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,delivered,source,customer_norm,employee_norm,order_source_id,orderdate,shippeddate,shipcountry
10248.0,VINET,5.0,1996-07-04,1996-08-01,1996-07-16,3.0,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,1,sql,vinet,5,,,,
10249.0,TOMSP,6.0,1996-07-05,1996-08-16,1996-07-10,1.0,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany,1,sql,tomsp,6,,,,
10250.0,HANAR,4.0,1996-07-08,1996-08-05,1996-07-12,2.0,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,1,sql,hanar,4,,,,
10251.0,VICTE,3.0,1996-07-08,1996-08-05,1996-07-15,1.0,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,1,sql,victe,3,,,,
10252.0,SUPRD,4.0,1996-07-09,1996-08-06,1996-07-11,2.0,51.3,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,1,sql,suprd,4,,,,
10253.0,HANAR,3.0,1996-07-10,1996-07-24,1996-07-16,2.0,58.17,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,1,sql,hanar,3,,,,
10254.0,CHOPS,5.0,1996-07-11,1996-08-08,1996-07-23,2.0,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland,1,sql,chops,5,,,,
10255.0,RICSU,9.0,1996-07-12,1996-08-09,1996-07-15,3.0,148.33,Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland,1,sql,ricsu,9,,,,
10256.0,WELLI,3.0,1996-07-15,1996-08-12,1996-07-17,2.0,13.97,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil,1,sql,welli,3,,,,
10257.0,HILAA,4.0,1996-07-16,1996-08-13,1996-07-22,3.0,81.91,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,1,sql,hilaa,4,,,,
10258.0,ERNSH,1.0,1996-07-17,1996-08-14,1996-07-23,1.0,140.51,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,1,sql,ernsh,1,,,,
10259.0,CENTC,4.0,1996-07-18,1996-08-15,1996-07-25,3.0,3.25,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,,05022,Mexico,1,sql,centc,4,,,,
10260.0,OTTIK,4.0,1996-07-19,1996-08-16,1996-07-29,1.0,55.09,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany,1,sql,ottik,4,,,,
10261.0,QUEDE,4.0,1996-07-19,1996-08-16,1996-07-30,2.0,3.05,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil,1,sql,quede,4,,,,
10262.0,RATTC,8.0,1996-07-22,1996-08-19,1996-07-25,3.0,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,1,sql,rattc,8,,,,
10263.0,ERNSH,9.0,1996-07-23,1996-08-20,1996-07-31,3.0,146.06,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,1,sql,ernsh,9,,,,
10264.0,FOLKO,6.0,1996-07-24,1996-08-21,1996-08-23,3.0,3.67,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden,1,sql,folko,6,,,,
10265.0,BLONP,2.0,1996-07-25,1996-08-22,1996-08-12,1.0,55.28,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,France,1,sql,blonp,2,,,,
10266.0,WARTH,3.0,1996-07-26,1996-09-06,1996-07-31,3.0,25.73,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland,1,sql,warth,3,,,,
10267.0,FRANK,4.0,1996-07-29,1996-08-26,1996-08-06,1.0,208.58,Frankenversand,Berliner Platz 43,München,,80805,Germany,1,sql,frank,4,,,,
10268.0,GROSR,8.0,1996-07-30,1996-08-27,1996-08-02,3.0,66.29,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela,1,sql,grosr,8,,,,
10269.0,WHITC,5.0,1996-07-31,1996-08-14,1996-08-09,1.0,4.56,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA,1,sql,whitc,5,,,,
10270.0,WARTH,1.0,1996-08-01,1996-08-29,1996-08-02,1.0,136.54,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland,1,sql,warth,1,,,,
10271.0,SPLIR,6.0,1996-08-01,1996-08-29,1996-08-30,2.0,4.54,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA,1,sql,splir,6,,,,
10272.0,RATTC,6.0,1996-08-02,1996-08-30,1996-08-06,2.0,98.03,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,1,sql,rattc,6,,,,
10273.0,QUICK,3.0,1996-08-05,1996-09-02,1996-08-12,3.0,76.07,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,1,sql,quick,3,,,,
10274.0,VINET,6.0,1996-08-06,1996-09-03,1996-08-16,1.0,6.01,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,1,sql,vinet,6,,,,
10275.0,MAGAA,1.0,1996-08-07,1996-09-04,1996-08-09,1.0,26.93,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy,1,sql,magaa,1,,,,
10276.0,TORTU,8.0,1996-08-08,1996-08-22,1996-08-14,3.0,13.84,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico,1,sql,tortu,8,,,,
10277.0,MORGK,2.0,1996-08-09,1996-09-06,1996-08-13,3.0,125.77,Morgenstern Gesundkost,Heerstr. 22,Leipzig,,04179,Germany,1,sql,morgk,2,,,,
10278.0,BERGS,8.0,1996-08-12,1996-09-09,1996-08-16,2.0,92.69,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,1,sql,bergs,8,,,,
10279.0,LEHMS,8.0,1996-08-13,1996-09-10,1996-08-16,2.0,25.83,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany,1,sql,lehms,8,,,,
10280.0,BERGS,2.0,1996-08-14,1996-09-11,1996-09-12,1.0,8.98,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,1,sql,bergs,2,,,,
10281.0,ROMEY,4.0,1996-08-14,1996-08-28,1996-08-21,1.0,2.94,Romero y tomillo,"Gran Vía, 1",Madrid,,28001,Spain,1,sql,romey,4,,,,
10282.0,ROMEY,4.0,1996-08-15,1996-09-12,1996-08-21,1.0,12.69,Romero y tomillo,"Gran Vía, 1",Madrid,,28001,Spain,1,sql,romey,4,,,,
10283.0,LILAS,3.0,1996-08-16,1996-09-13,1996-08-23,3.0,84.81,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,1,sql,lilas,3,,,,
10284.0,LEHMS,4.0,1996-08-19,1996-09-16,1996-08-27,1.0,76.56,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany,1,sql,lehms,4,,,,
10285.0,QUICK,1.0,1996-08-20,1996-09-17,1996-08-26,2.0,76.83,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,1,sql,quick,1,,,,
10286.0,QUICK,8.0,1996-08-21,1996-09-18,1996-08-30,3.0,229.24,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,1,sql,quick,8,,,,
10287.0,RICAR,8.0,1996-08-22,1996-09-19,1996-08-28,3.0,12.76,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil,1,sql,ricar,8,,,,
10288.0,REGGC,4.0,1996-08-23,1996-09-20,1996-09-03,1.0,7.45,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,,42100,Italy,1,sql,reggc,4,,,,
10289.0,BSBEV,7.0,1996-08-26,1996-09-23,1996-08-28,3.0,22.77,B's Beverages,Fauntleroy Circus,London,,EC2 5NT,UK,1,sql,bsbev,7,,,,
10290.0,COMMI,8.0,1996-08-27,1996-09-24,1996-09-03,1.0,79.7,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,SP,05432-043,Brazil,1,sql,commi,8,,,,
10291.0,QUEDE,6.0,1996-08-27,1996-09-24,1996-09-04,2.0,6.4,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil,1,sql,quede,6,,,,
10292.0,TRADH,1.0,1996-08-28,1996-09-25,1996-09-02,2.0,1.35,Tradiçao Hipermercados,"Av. Inês de Castro, 414",Sao Paulo,SP,05634-030,Brazil,1,sql,tradh,1,,,,
10293.0,TORTU,1.0,1996-08-29,1996-09-26,1996-09-11,3.0,21.18,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico,1,sql,tortu,1,,,,
10294.0,RATTC,4.0,1996-08-30,1996-09-27,1996-09-05,2.0,147.26,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,1,sql,rattc,4,,,,
10295.0,VINET,2.0,1996-09-02,1996-09-30,1996-09-10,2.0,1.15,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,1,sql,vinet,2,,,,
10296.0,LILAS,6.0,1996-09-03,1996-10-01,1996-09-11,1.0,0.12,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,1,sql,lilas,6,,,,
10297.0,BLONP,5.0,1996-09-04,1996-10-16,1996-09-10,2.0,5.74,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,France,1,sql,blonp,5,,,,
10298.0,HUNGO,6.0,1996-09-05,1996-10-03,1996-09-11,2.0,168.22,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland,1,sql,hungo,6,,,,
10299.0,RICAR,4.0,1996-09-06,1996-10-04,1996-09-13,2.0,29.76,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil,1,sql,ricar,4,,,,
10300.0,MAGAA,2.0,1996-09-09,1996-10-07,1996-09-18,2.0,17.68,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy,1,sql,magaa,2,,,,
10301.0,WANDK,8.0,1996-09-09,1996-10-07,1996-09-17,2.0,45.08,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Germany,1,sql,wandk,8,,,,
10302.0,SUPRD,4.0,1996-09-10,1996-10-08,1996-10-09,2.0,6.27,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,1,sql,suprd,4,,,,
10303.0,GODOS,7.0,1996-09-11,1996-10-09,1996-09-18,2.0,107.83,Godos Cocina Típica,"C/ Romero, 33",Sevilla,,41101,Spain,1,sql,godos,7,,,,
10304.0,TORTU,1.0,1996-09-12,1996-10-10,1996-09-17,2.0,63.79,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico,1,sql,tortu,1,,,,
10305.0,OLDWO,8.0,1996-09-13,1996-10-11,1996-10-09,3.0,257.62,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,USA,1,sql,oldwo,8,,,,
10306.0,ROMEY,1.0,1996-09-16,1996-10-14,1996-09-23,3.0,7.56,Romero y tomillo,"Gran Vía, 1",Madrid,,28001,Spain,1,sql,romey,1,,,,
10307.0,LONEP,2.0,1996-09-17,1996-10-15,1996-09-25,2.0,0.56,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,USA,1,sql,lonep,2,,,,
10308.0,ANATR,7.0,1996-09-18,1996-10-16,1996-09-24,3.0,1.61,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,,05021,Mexico,1,sql,anatr,7,,,,
10309.0,HUNGO,3.0,1996-09-19,1996-10-17,1996-10-23,1.0,47.3,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland,1,sql,hungo,3,,,,
10310.0,THEBI,8.0,1996-09-20,1996-10-18,1996-09-27,2.0,17.52,The Big Cheese,89 Jefferson Way Suite 2,Portland,OR,97201,USA,1,sql,thebi,8,,,,
