date,date_key,year,month,day,weekday
1996-07-04,19960704,1996,7,4,Thursday
1996-07-05,19960705,1996,7,5,Friday
1996-07-06,19960706,1996,7,6,Saturday
1996-07-07,19960707,1996,7,7,Sunday
1996-07-08,19960708,1996,7,8,Monday
1996-07-09,19960709,1996,7,9,Tuesday
1996-07-10,19960710,1996,7,10,Wednesday
1996-07-11,19960711,1996,7,11,Thursday
1996-07-12,19960712,1996,7,12,Friday
1996-07-13,19960713,1996,7,13,Saturday
1996-07-14,19960714,1996,7,14,Sunday
1996-07-15,19960715,1996,7,15,Monday
1996-07-16,19960716,1996,7,16,Tuesday
1996-07-17,19960717,1996,7,17,Wednesday
1996-07-18,19960718,1996,7,18,Thursday
1996-07-19,19960719,1996,7,19,Friday
1996-07-20,19960720,1996,7,20,Saturday
1996-07-21,19960721,1996,7,21,Sunday
1996-07-22,19960722,1996,7,22,Monday
1996-07-23,19960723,1996,7,23,Tuesday
1996-07-24,19960724,1996,7,24,Wednesday
1996-07-25,19960725,1996,7,25,Thursday
1996-07-26,19960726,1996,7,26,Friday
1996-07-27,19960727,1996,7,27,Saturday
1996-07-28,19960728,1996,7,28,Sunday
1996-07-29,19960729,1996,7,29,Monday
1996-07-30,19960730,1996,7,30,Tuesday
1996-07-31,19960731,1996,7,31,Wednesday
1996-08-01,19960801,1996,8,1,Thursday
1996-08-02,19960802,1996,8,2,Friday
1996-08-03,19960803,1996,8,3,Saturday
1996-08-04,19960804,1996,8,4,Sunday
1996-08-05,19960805,1996,8,5,Monday
1996-08-06,19960806,1996,8,6,Tuesday
1996-08-07,19960807,1996,8,7,Wednesday
1996-08-08,19960808,1996,8,8,Thursday
1996-08-09,19960809,1996,8,9,Friday
1996-08-10,19960810,1996,8,10,Saturday
1996-08-11,19960811,1996,8,11,Sunday
1996-08-12,19960812,1996,8,12,Monday
1996-08-13,19960813,1996,8,13,Tuesday
1996-08-14,19960814,1996,8,14,Wednesday
1996-08-15,19960815,1996,8,15,Thursday
1996-08-16,19960816,1996,8,16,Friday
1996-08-17,19960817,1996,8,17,Saturday
1996-08-18,19960818,1996,8,18,Sunday
1996-08-19,19960819,1996,8,19,Monday
1996-08-20,19960820,1996,8,20,Tuesday
1996-08-21,19960821,1996,8,21,Wednesday
1996-08-22,19960822,1996,8,22,Thursday
1996-08-23,19960823,1996,8,23,Friday
1996-08-24,19960824,1996,8,24,Saturday
1996-08-25,19960825,1996,8,25,Sunday
1996-08-26,19960826,1996,8,26,Monday
1996-08-27,19960827,1996,8,27,Tuesday
1996-08-28,19960828,1996,8,28,Wednesday
1996-08-29,19960829,1996,8,29,Thursday
1996-08-30,19960830,1996,8,30,Friday
1996-08-31,19960831,1996,8,31,Saturday
1996-09-01,19960901,1996,9,1,Sunday
1996-09-02,19960902,1996,9,2,Monday
1996-09-03,19960903,1996,9,3,Tuesday
1996-09-04,19960904,1996,9,4,Wednesday
1996-09-05,19960905,1996,9,5,Thursday
1996-09-06,19960906,1996,9,6,Friday
1996-09-07,19960907,1996,9,7,Saturday
1996-09-08,19960908,1996,9,8,Sunday
1996-09-09,19960909,1996,9,9,Monday
1996-09-10,19960910,1996,9,10,Tuesday
1996-09-11,19960911,1996,9,11,Wednesday
1996-09-12,19960912,1996,9,12,Thursday
1996-09-13,19960913,1996,9,13,Friday
1996-09-14,19960914,1996,9,14,Saturday
1996-09-15,19960915,1996,9,15,Sunday
1996-09-16,19960916,1996,9,16,Monday
1996-09-17,19960917,1996,9,17,Tuesday
1996-09-18,19960918,1996,9,18,Wednesday
1996-09-19,19960919,1996,9,19,Thursday
1996-09-20,19960920,1996,9,20,Friday
